name	row_number	problem_type	problem_col	error_message
mc01a	1	value	int_scat	"t" is not in controlled vocabulary for boolean
mc01b	3	value	int_scat	"t" is not in controlled vocabulary for boolean
mc01d	6	value	int_scat	"t" is not in controlled vocabulary for boolean
mc01g	10	value	int_scat	"t" is not in controlled vocabulary for boolean
mc02f	17	value	int_scat	"t" is not in controlled vocabulary for boolean
mc04c-1	28	value	experiments	This value (long): "LP-HYS" is not found in: experiment column in measurements table.  Also (short): LP-HYS:mc04c-1 is not in measurements.experiment
mc06h	38	value	int_scat	"t" is not in controlled vocabulary for boolean
mc08a	45	value	int_scat	"t" is not in controlled vocabulary for boolean
mc08b	47	value	int_scat	"t" is not in controlled vocabulary for boolean
mc08g	53	value	int_scat	"t" is not in controlled vocabulary for boolean
mc08h	55	value	int_scat	"t" is not in controlled vocabulary for boolean
mc09a	57	value	int_scat	"t" is not in controlled vocabulary for boolean
mc09b	59	value	int_scat	"t" is not in controlled vocabulary for boolean
mc09d	62	value	int_scat	"t" is not in controlled vocabulary for boolean
mc103e1	98	value	int_scat	"t" is not in controlled vocabulary for boolean
mc105a2	109	value	int_scat	"t" is not in controlled vocabulary for boolean
mc105c1	111	value	int_scat	"t" is not in controlled vocabulary for boolean
mc105d1	113	value	int_scat	"t" is not in controlled vocabulary for boolean
mc105j1	118	value	int_scat	"t" is not in controlled vocabulary for boolean
mc107e2	128	value	int_scat	"t" is not in controlled vocabulary for boolean
mc109a1	141	value	int_scat	"t" is not in controlled vocabulary for boolean
mc109c1	144	value	int_scat	"t" is not in controlled vocabulary for boolean
mc109d1	146	value	int_scat	"t" is not in controlled vocabulary for boolean
mc109e1	148	value	int_scat	"t" is not in controlled vocabulary for boolean
mc10a	151	value	int_scat	"t" is not in controlled vocabulary for boolean
mc10b	153	value	int_scat	"t" is not in controlled vocabulary for boolean
mc10d	156	value	int_scat	"t" is not in controlled vocabulary for boolean
mc111d2	172	value	int_scat	"t" is not in controlled vocabulary for boolean
mc111e2	175	value	int_scat	"t" is not in controlled vocabulary for boolean
mc113a1-1	187	value	experiments	This value (long): "LP-HYS" is not found in: experiment column in measurements table.  Also (short): LP-HYS:mc113a1-1 is not in measurements.experiment
mc113a2	189	value	int_scat	"t" is not in controlled vocabulary for boolean
mc113j1	197	value	int_scat	"t" is not in controlled vocabulary for boolean
mc113m1	199	value	int_scat	"t" is not in controlled vocabulary for boolean
mc115a2	208	value	int_scat	"t" is not in controlled vocabulary for boolean
mc115b1	210	value	int_scat	"t" is not in controlled vocabulary for boolean
mc115e1	212	value	int_scat	"t" is not in controlled vocabulary for boolean
mc116b1	217	value	int_scat	"t" is not in controlled vocabulary for boolean
mc116j2	221	value	int_scat	"t" is not in controlled vocabulary for boolean
mc117a1	223	value	int_scat	"t" is not in controlled vocabulary for boolean
mc117a2-1	225	value	experiments	This value (long): "LP-HYS" is not found in: experiment column in measurements table.  Also (short): LP-HYS:mc117a2-1 is not in measurements.experiment
mc117b1	227	value	int_scat	"t" is not in controlled vocabulary for boolean
mc117d2	229	value	int_scat	"t" is not in controlled vocabulary for boolean
mc117e2	231	value	int_scat	"t" is not in controlled vocabulary for boolean
mc119a1	241	value	int_scat	"t" is not in controlled vocabulary for boolean
mc119b1	243	value	int_scat	"t" is not in controlled vocabulary for boolean
mc119d2	246	value	int_scat	"t" is not in controlled vocabulary for boolean
mc119e2	248	value	int_scat	"t" is not in controlled vocabulary for boolean
mc119f2	250	value	int_scat	"t" is not in controlled vocabulary for boolean
mc11b	253	value	int_scat	"t" is not in controlled vocabulary for boolean
mc11c	255	value	int_scat	"t" is not in controlled vocabulary for boolean
mc11e	258	value	int_scat	"t" is not in controlled vocabulary for boolean
mc11h	262	value	int_scat	"t" is not in controlled vocabulary for boolean
mc120a1	264	value	int_scat	"t" is not in controlled vocabulary for boolean
mc120a2-1	266	value	experiments	This value (long): "LP-HYS" is not found in: experiment column in measurements table.  Also (short): LP-HYS:mc120a2-1 is not in measurements.experiment
mc120b1	268	value	int_scat	"t" is not in controlled vocabulary for boolean
mc120b2	270	value	int_scat	"t" is not in controlled vocabulary for boolean
mc120c1	272	value	int_scat	"t" is not in controlled vocabulary for boolean
mc120f1	274	value	int_scat	"t" is not in controlled vocabulary for boolean
mc121c1	280	value	int_scat	"t" is not in controlled vocabulary for boolean
mc121d1	283	value	int_scat	"t" is not in controlled vocabulary for boolean
mc121d1	284	value	experiments	This value (long): "AARM" is not found in: experiment column in measurements table.  Also (short): AARM:mc121d1 is not in measurements.experiment
mc121e1	287	value	int_scat	"t" is not in controlled vocabulary for boolean
mc121f2	290	value	int_scat	"t" is not in controlled vocabulary for boolean
mc121f2	291	value	experiments	This value (long): "AARM" is not found in: experiment column in measurements table.  Also (short): AARM:mc121f2 is not in measurements.experiment
mc121g1	293	value	int_scat	"t" is not in controlled vocabulary for boolean
mc121g1	294	value	experiments	This value (long): "AARM" is not found in: experiment column in measurements table.  Also (short): AARM:mc121g1 is not in measurements.experiment
mc121k1	297	value	int_scat	"t" is not in controlled vocabulary for boolean
mc121k1	298	value	experiments	This value (long): "AARM" is not found in: experiment column in measurements table.  Also (short): AARM:mc121k1 is not in measurements.experiment
mc121k2	300	value	int_scat	"t" is not in controlled vocabulary for boolean
mc121k2	301	value	experiments	This value (long): "AARM" is not found in: experiment column in measurements table.  Also (short): AARM:mc121k2 is not in measurements.experiment
mc123a2	312	value	int_scat	"t" is not in controlled vocabulary for boolean
mc123b1	314	value	int_scat	"t" is not in controlled vocabulary for boolean
mc123b2	316	value	int_scat	"t" is not in controlled vocabulary for boolean
mc123c3	319	value	int_scat	"t" is not in controlled vocabulary for boolean
mc124a1	323	value	int_scat	"t" is not in controlled vocabulary for boolean
mc124d2	326	value	int_scat	"t" is not in controlled vocabulary for boolean
mc125d1	336	value	int_scat	"t" is not in controlled vocabulary for boolean
mc125e1	338	value	int_scat	"t" is not in controlled vocabulary for boolean
mc125i1	342	value	int_scat	"t" is not in controlled vocabulary for boolean
mc127a2	354	value	int_scat	"t" is not in controlled vocabulary for boolean
mc127c1	357	value	int_scat	"t" is not in controlled vocabulary for boolean
mc127d1	359	value	int_scat	"t" is not in controlled vocabulary for boolean
mc128b2	365	value	int_scat	"t" is not in controlled vocabulary for boolean
mc128c2	367	value	int_scat	"t" is not in controlled vocabulary for boolean
mc128j1	374	value	int_scat	"t" is not in controlled vocabulary for boolean
mc129a1-1	376	value	experiments	This value (long): "LP-HYS" is not found in: experiment column in measurements table.  Also (short): LP-HYS:mc129a1-1 is not in measurements.experiment
mc129b1	379	value	int_scat	"t" is not in controlled vocabulary for boolean
mc129c1	381	value	int_scat	"t" is not in controlled vocabulary for boolean
mc129l1	387	value	int_scat	"t" is not in controlled vocabulary for boolean
mc130a1	389	value	int_scat	"t" is not in controlled vocabulary for boolean
mc130d1	393	value	int_scat	"t" is not in controlled vocabulary for boolean
mc130h1	396	value	int_scat	"t" is not in controlled vocabulary for boolean
mc131b1	401	value	int_scat	"t" is not in controlled vocabulary for boolean
mc131c2	403	value	int_scat	"t" is not in controlled vocabulary for boolean
mc131d2	405	value	int_scat	"t" is not in controlled vocabulary for boolean
mc131e1	407	value	int_scat	"t" is not in controlled vocabulary for boolean
mc131g1	410	value	int_scat	"t" is not in controlled vocabulary for boolean
mc132e2	417	value	int_scat	"t" is not in controlled vocabulary for boolean
mc132f2	419	value	int_scat	"t" is not in controlled vocabulary for boolean
mc132g2	421	value	int_scat	"t" is not in controlled vocabulary for boolean
mc132h2	422	value	int_scat	"t" is not in controlled vocabulary for boolean
mc132i2	424	value	int_scat	"t" is not in controlled vocabulary for boolean
mc132j1	426	value	int_scat	"t" is not in controlled vocabulary for boolean
mc132k1	429	value	int_scat	"t" is not in controlled vocabulary for boolean
mc133f1	434	value	int_scat	"t" is not in controlled vocabulary for boolean
mc133g1	436	value	int_scat	"t" is not in controlled vocabulary for boolean
mc133l1	439	value	int_scat	"t" is not in controlled vocabulary for boolean
mc134c2	443	value	int_scat	"t" is not in controlled vocabulary for boolean
mc134f1	446	value	int_scat	"t" is not in controlled vocabulary for boolean
mc135a1	449	value	int_scat	"t" is not in controlled vocabulary for boolean
